Time: 1578222283, Messages: 0, Members Joined: 0
Time: 1578222288, Messages: 0, Members Joined: 0
Time: 1578222297, Messages: 0, Members Joined: 0
Time: 1578222302, Messages: 0, Members Joined: 0
Time: 1578222307, Messages: 4, Members Joined: 0
Time: 1578222312, Messages: 0, Members Joined: 0
Time: 1578222317, Messages: 0, Members Joined: 0
Time: 1578222322, Messages: 0, Members Joined: 0
Time: 1578222327, Messages: 0, Members Joined: 0
Time: 1578222332, Messages: 0, Members Joined: 0
Time: 1578222457, Messages: 0, Members Joined: 0
Time: 1578222462, Messages: 0, Members Joined: 0
Time: 1578222467, Messages: 0, Members Joined: 0
Time: 1578222472, Messages: 0, Members Joined: 0
Time: 1578222477, Messages: 2, Members Joined: 0
Time: 1578222482, Messages: 1, Members Joined: 0
Time: 1578222487, Messages: 2, Members Joined: 0
Time: 1578222492, Messages: 0, Members Joined: 0
Time: 1578222497, Messages: 2, Members Joined: 0
Time: 1578222502, Messages: 0, Members Joined: 0
Time: 1578222507, Messages: 0, Members Joined: 0
Time: 1578222512, Messages: 0, Members Joined: 0
Time: 1578222517, Messages: 1, Members Joined: 0
Time: 1578222522, Messages: 0, Members Joined: 0
Time: 1578222527, Messages: 1, Members Joined: 0
Time: 1578222532, Messages: 0, Members Joined: 0
Time: 1578222537, Messages: 4, Members Joined: 0
Time: 1578222542, Messages: 0, Members Joined: 0
Time: 1578222547, Messages: 2, Members Joined: 0
Time: 1578222552, Messages: 0, Members Joined: 0
Time: 1578222557, Messages: 0, Members Joined: 0
Time: 1578222562, Messages: 0, Members Joined: 0
Time: 1578222567, Messages: 0, Members Joined: 0
Time: 1578222572, Messages: 0, Members Joined: 0
Time: 1578222577, Messages: 0, Members Joined: 0
Time: 1578222582, Messages: 0, Members Joined: 0
Time: 1578222587, Messages: 0, Members Joined: 0
Time: 1578222592, Messages: 0, Members Joined: 0
Time: 1578222597, Messages: 0, Members Joined: 0
Time: 1578222602, Messages: 0, Members Joined: 0
Time: 1578222607, Messages: 0, Members Joined: 0
Time: 1578222612, Messages: 0, Members Joined: 0
Time: 1578222617, Messages: 0, Members Joined: 0
Time: 1578222622, Messages: 0, Members Joined: 0
Time: 1578222627, Messages: 0, Members Joined: 0
Time: 1578222632, Messages: 0, Members Joined: 0
Time: 1578222637, Messages: 0, Members Joined: 0
Time: 1578222642, Messages: 0, Members Joined: 0
Time: 1578222647, Messages: 0, Members Joined: 0
Time: 1578222652, Messages: 0, Members Joined: 0
Time: 1578222657, Messages: 0, Members Joined: 0
Time: 1578222662, Messages: 0, Members Joined: 0
Time: 1578222667, Messages: 0, Members Joined: 0
Time: 1578222672, Messages: 0, Members Joined: 0
Time: 1578222677, Messages: 0, Members Joined: 0
Time: 1578222682, Messages: 0, Members Joined: 0
Time: 1578222687, Messages: 0, Members Joined: 0
Time: 1578222692, Messages: 0, Members Joined: 0
Time: 1578222697, Messages: 0, Members Joined: 0
Time: 1578222702, Messages: 0, Members Joined: 0
Time: 1578222707, Messages: 0, Members Joined: 0
Time: 1578222712, Messages: 0, Members Joined: 0
Time: 1578222717, Messages: 0, Members Joined: 0
Time: 1578222722, Messages: 0, Members Joined: 0
Time: 1578222727, Messages: 0, Members Joined: 0
Time: 1578222732, Messages: 0, Members Joined: 0
Time: 1578222737, Messages: 0, Members Joined: 0
Time: 1578222742, Messages: 0, Members Joined: 0
Time: 1578222747, Messages: 0, Members Joined: 0
Time: 1578222752, Messages: 0, Members Joined: 0
Time: 1578222757, Messages: 0, Members Joined: 0
Time: 1578222762, Messages: 0, Members Joined: 0
Time: 1578222767, Messages: 0, Members Joined: 0
Time: 1578222772, Messages: 0, Members Joined: 0
Time: 1578222777, Messages: 0, Members Joined: 0
Time: 1578222782, Messages: 0, Members Joined: 0
Time: 1578222787, Messages: 0, Members Joined: 0
Time: 1578222792, Messages: 0, Members Joined: 0
Time: 1578222797, Messages: 0, Members Joined: 0
Time: 1578222802, Messages: 0, Members Joined: 0
Time: 1578222807, Messages: 0, Members Joined: 0
